step_time,total_stopped,total_wait_time
1426.0,71,28500.0
1431.0,71,28855.0
1436.0,69,29179.0
1441.0,75,29524.0
1446.0,63,28682.0
1451.0,55,26927.0
1456.0,50,26767.0
1461.0,49,27013.0
1466.0,54,27269.0
1471.0,60,27557.0
1476.0,66,27877.0
1481.0,66,28207.0
1486.0,67,28538.0
1491.0,68,28878.0
1496.0,66,29145.0
1501.0,66,29470.0
1506.0,60,28922.0
1511.0,50,27629.0
1516.0,46,27866.0
1521.0,48,28097.0
1526.0,54,28355.0
1531.0,62,28647.0
1536.0,62,28951.0
1541.0,62,29261.0
1546.0,62,29571.0
1551.0,62,29881.0
1556.0,62,30191.0
1561.0,64,30509.0
1566.0,66,30831.0
1571.0,64,31149.0
1576.0,64,31469.0
1581.0,64,31789.0
1586.0,58,31263.0
1591.0,48,30076.0
1596.0,43,29675.0
1601.0,46,29892.0
1606.0,52,30142.0
1611.0,60,30425.0
1616.0,54,28448.0
1621.0,50,24373.0
1626.0,32,23938.0
1631.0,19,23034.0
1636.0,21,22909.0
1641.0,34,23053.0
1646.0,49,23264.0
1651.0,51,23518.0
1656.0,51,23773.0
1661.0,51,24028.0
1666.0,53,24290.0
1671.0,51,24415.0
1676.0,53,24610.0
1681.0,51,24859.0
1686.0,51,25114.0
1691.0,51,25369.0
1696.0,51,25624.0
1701.0,53,25889.0
1706.0,55,26159.0
1711.0,57,26438.0
1716.0,55,26709.0
1721.0,55,26984.0
1726.0,55,27259.0
1731.0,56,27535.0
1736.0,57,27820.0
1741.0,59,28108.0
1746.0,57,26111.0
1751.0,47,22008.0
1756.0,39,21181.0
1761.0,36,21367.0
1766.0,37,21546.0
1771.0,44,21752.0
1776.0,50,21989.0
1781.0,58,22267.0
1786.0,58,22557.0
1791.0,54,22751.0
1796.0,54,23002.0
1801.0,62,23272.0
1806.0,54,23542.0
1811.0,58,23822.0
1816.0,58,24112.0
1821.0,54,23637.0
1826.0,44,22561.0
1831.0,38,22457.0
1836.0,43,22659.0
1841.0,49,22891.0
1846.0,49,22588.0
1851.0,41,21867.0
1856.0,42,21873.0
1861.0,47,22102.0
1866.0,52,22355.0
1871.0,52,22615.0
1876.0,49,22754.0
1881.0,50,22960.0
1886.0,51,23213.0
1891.0,54,23477.0
1896.0,54,23747.0
1901.0,54,24017.0
1906.0,54,24287.0
1911.0,54,24557.0
1916.0,55,24832.0
1921.0,53,25043.0
1926.0,56,25320.0
1931.0,51,25086.0
1936.0,41,24486.0
1941.0,42,24664.0
1946.0,48,24894.0
1951.0,49,25138.0
1956.0,49,25383.0
1961.0,51,25633.0
1966.0,53,25898.0
1971.0,53,26163.0
1976.0,51,26398.0
1981.0,57,26653.0
1986.0,51,26908.0
1991.0,51,27163.0
1996.0,53,27423.0
2001.0,53,27688.0
2006.0,53,27953.0
2011.0,53,28218.0
2016.0,53,28483.0
2021.0,53,28748.0
2026.0,53,29013.0
2031.0,55,29283.0
2036.0,57,29562.0
2041.0,57,29847.0
2046.0,57,30132.0
2051.0,55,30383.0
2056.0,55,30658.0
2061.0,55,30933.0
2066.0,57,31215.0
2071.0,57,31500.0
2076.0,57,31785.0
2081.0,57,32070.0
2086.0,51,29645.0
2091.0,41,24698.0
2096.0,33,18004.0
2101.0,28,18151.0
2106.0,29,18288.0
2111.0,37,18457.0
2116.0,44,18659.0
2121.0,49,18895.0
2126.0,49,19140.0
2131.0,49,19385.0
2136.0,51,19577.0
2141.0,51,19832.0
2146.0,51,20087.0
2151.0,51,20342.0
2156.0,51,20597.0
2161.0,59,20852.0
2166.0,51,21107.0
2171.0,54,21369.0
2176.0,55,21644.0
2181.0,51,19837.0
2186.0,41,16167.0
2191.0,33,15487.0
2196.0,33,15646.0
2201.0,40,15833.0
2206.0,48,16055.0
2211.0,52,16311.0
2216.0,53,16576.0
2221.0,53,16841.0
2226.0,53,17106.0
2231.0,53,17371.0
2236.0,52,17611.0
2241.0,52,17871.0
2246.0,56,18150.0
2251.0,58,18435.0
2256.0,58,18725.0
2261.0,58,19015.0
2266.0,58,19305.0
2271.0,58,19595.0
2276.0,59,19886.0
2281.0,62,20195.0
2286.0,64,20507.0
2291.0,64,20827.0
2296.0,60,21048.0
2301.0,60,21330.0
2306.0,60,21630.0
2311.0,61,21931.0
2316.0,64,22248.0
2321.0,64,22568.0
2326.0,60,21814.0
2331.0,51,20142.0
2336.0,44,19918.0
2341.0,49,20130.0
2346.0,48,20357.0
2351.0,56,20625.0
2356.0,64,20933.0
2361.0,65,21256.0
2366.0,65,21581.0
2371.0,59,20960.0
2376.0,50,19562.0
2381.0,44,19420.0
2386.0,48,19649.0
2391.0,54,19905.0
2396.0,56,18104.0
2401.0,49,13675.0
2406.0,36,13721.0
2411.0,34,13774.0
2416.0,32,13171.0
2421.0,29,11988.0
2426.0,33,12143.0
2431.0,40,12326.0
2436.0,47,12548.0
2441.0,51,12798.0
2446.0,51,13053.0
2451.0,51,13308.0
2456.0,52,13565.0
2461.0,54,13831.0
2466.0,57,14110.0
2471.0,57,14395.0
2476.0,53,14584.0
2481.0,53,14829.0
2486.0,53,15094.0
2491.0,54,15360.0
2496.0,56,15637.0
2501.0,57,15922.0
2506.0,59,16215.0
2511.0,59,16510.0
2516.0,59,16805.0
2521.0,65,17062.0
2526.0,59,17349.0
2531.0,61,17646.0
2536.0,61,17951.0
2541.0,57,16626.0
2546.0,47,13870.0
2551.0,42,14087.0
2556.0,38,14285.0
2561.0,43,14487.0
2566.0,49,14717.0
2571.0,57,14987.0
2576.0,63,15296.0
2581.0,57,14730.0
2586.0,47,13471.0
