step_time,total_stopped,total_wait_time
1540.0,16,8.0
1545.0,16,8.0
1550.0,14,7.0
1555.0,14,7.0
1560.0,13,6.5
1565.0,14,7.0
1570.0,13,6.5
1575.0,11,5.5
1580.0,13,6.5
1585.0,12,6.0
1590.0,8,4.0
1595.0,4,2.0
1600.0,3,1.5
1605.0,7,3.5
1610.0,8,4.0
1615.0,6,3.0
1620.0,3,1.5
1625.0,7,3.5
1630.0,8,4.0
1635.0,5,2.5
1640.0,2,1.0
1645.0,7,3.5
1650.0,8,4.0
1655.0,6,3.0
1660.0,5,2.5
1665.0,2,1.0
1670.0,7,3.5
1675.0,7,3.5
1680.0,5,2.5
1685.0,4,2.0
1690.0,7,3.5
1695.0,14,7.0
1700.0,19,9.5
1705.0,26,13.0
1710.0,33,16.5
1715.0,38,19.0
1720.0,38,19.0
1725.0,38,19.0
1730.0,32,16.0
1735.0,22,11.0
1740.0,16,8.0
1745.0,15,7.5
1750.0,14,7.0
1755.0,14,7.0
1760.0,11,5.5
1765.0,9,4.5
1770.0,11,5.5
1775.0,12,6.0
1780.0,20,10.0
1785.0,26,13.0
1790.0,32,16.0
1795.0,32,16.0
1800.0,22,11.0
1805.0,17,8.5
1810.0,13,6.5
1815.0,9,4.5
1820.0,4,2.0
1825.0,7,3.5
1830.0,10,5.0
1835.0,16,8.0
1840.0,22,11.0
1845.0,23,11.5
1850.0,20,10.0
1855.0,15,7.5
1860.0,11,5.5
1865.0,9,4.5
1870.0,7,3.5
1875.0,5,2.5
1880.0,7,3.5
1885.0,11,5.5
1890.0,18,9.0
1895.0,25,12.5
1900.0,26,13.0
1905.0,21,10.5
1910.0,15,7.5
1915.0,12,6.0
1920.0,14,7.0
1925.0,13,6.5
1930.0,12,6.0
1935.0,9,4.5
1940.0,9,4.5
1945.0,8,4.0
1950.0,6,3.0
1955.0,5,2.5
1960.0,7,3.5
1965.0,7,3.5
1970.0,5,2.5
1975.0,6,3.0
1980.0,9,4.5
1985.0,17,8.5
1990.0,22,11.0
1995.0,23,11.5
2000.0,22,11.0
2005.0,16,8.0
2010.0,13,6.5
2015.0,15,7.5
2020.0,15,7.5
2025.0,11,5.5
2030.0,10,5.0
2035.0,9,4.5
2040.0,14,7.0
2045.0,15,7.5
2050.0,13,6.5
2055.0,12,6.0
2060.0,14,7.0
2065.0,16,8.0
2070.0,16,8.0
2075.0,12,6.0
2080.0,17,8.5
2085.0,14,7.0
2090.0,15,7.5
2095.0,16,8.0
2100.0,15,7.5
2105.0,14,7.0
2110.0,8,4.0
2115.0,8,4.0
2120.0,14,7.0
2125.0,21,10.5
2130.0,26,13.0
2135.0,30,15.0
2140.0,32,16.0
2145.0,35,17.5
2150.0,38,19.0
2155.0,32,16.0
2160.0,24,12.0
2165.0,18,9.0
2170.0,15,7.5
2175.0,11,5.5
2180.0,9,4.5
2185.0,7,3.5
2190.0,12,6.0
2195.0,12,6.0
2200.0,7,3.5
2205.0,10,5.0
2210.0,13,6.5
2215.0,15,7.5
2220.0,17,8.5
2225.0,15,7.5
2230.0,14,7.0
2235.0,8,4.0
2240.0,6,3.0
2245.0,14,7.0
2250.0,14,7.0
2255.0,10,5.0
2260.0,9,4.5
2265.0,12,6.0
2270.0,7,3.5
2275.0,5,2.5
2280.0,3,1.5
2285.0,7,3.5
2290.0,14,7.0
2295.0,14,7.0
2300.0,12,6.0
2305.0,9,4.5
2310.0,12,6.0
2315.0,8,4.0
2320.0,4,2.0
2325.0,4,2.0
2330.0,7,3.5
2335.0,8,4.0
2340.0,5,2.5
2345.0,7,3.5
2350.0,9,4.5
2355.0,9,4.5
2360.0,9,4.5
2365.0,8,4.0
2370.0,13,6.5
2375.0,17,8.5
2380.0,18,9.0
2385.0,17,8.5
2390.0,14,7.0
2395.0,14,7.0
2400.0,14,7.0
2405.0,13,6.5
2410.0,10,5.0
2415.0,11,5.5
2420.0,13,6.5
2425.0,8,4.0
2430.0,4,2.0
2435.0,4,2.0
2440.0,7,3.5
2445.0,13,6.5
2450.0,14,7.0
2455.0,14,7.0
2460.0,11,5.5
2465.0,10,5.0
2470.0,7,3.5
2475.0,7,3.5
2480.0,4,2.0
2485.0,9,4.5
2490.0,9,4.5
2495.0,8,4.0
2500.0,6,3.0
2505.0,2,1.0
2510.0,8,4.0
2515.0,8,4.0
2520.0,6,3.0
2525.0,6,3.0
2530.0,7,3.5
2535.0,14,7.0
2540.0,20,10.0
2545.0,23,11.5
2550.0,21,10.5
2555.0,15,7.5
2560.0,12,6.0
2565.0,9,4.5
2570.0,6,3.0
