step_time,total_stopped,total_wait_time
5.0,0,0.0
10.0,0,0.0
15.0,0,0.0
20.0,3,1.5
25.0,8,4.0
30.0,13,6.5
35.0,16,8.0
40.0,17,8.5
45.0,19,9.5
50.0,21,10.5
55.0,25,12.5
60.0,23,11.5
65.0,19,9.5
70.0,14,7.0
75.0,11,5.5
80.0,14,7.0
85.0,21,10.5
90.0,27,13.5
95.0,33,16.5
100.0,37,18.5
105.0,38,19.0
110.0,38,19.0
115.0,32,16.0
120.0,22,11.0
125.0,17,8.5
130.0,14,7.0
135.0,15,7.5
140.0,23,11.5
145.0,28,14.0
150.0,33,16.5
155.0,35,17.5
160.0,38,19.0
165.0,38,19.0
170.0,32,16.0
175.0,23,11.5
180.0,17,8.5
185.0,14,7.0
190.0,16,8.0
195.0,22,11.0
200.0,30,15.0
205.0,36,18.0
210.0,38,19.0
215.0,32,16.0
220.0,22,11.0
225.0,16,8.0
230.0,12,6.0
235.0,14,7.0
240.0,21,10.5
245.0,28,14.0
250.0,34,17.0
255.0,38,19.0
260.0,32,16.0
265.0,23,11.5
270.0,16,8.0
275.0,12,6.0
280.0,14,7.0
285.0,14,7.0
290.0,11,5.5
295.0,11,5.5
300.0,14,7.0
305.0,15,7.5
310.0,21,10.5
315.0,27,13.5
320.0,33,16.5
325.0,31,15.5
330.0,24,12.0
335.0,17,8.5
340.0,14,7.0
345.0,17,8.5
350.0,23,11.5
355.0,29,14.5
360.0,29,14.5
365.0,23,11.5
370.0,14,7.0
375.0,12,6.0
380.0,14,7.0
385.0,21,10.5
390.0,28,14.0
395.0,36,18.0
400.0,38,19.0
405.0,33,16.5
410.0,23,11.5
415.0,18,9.0
420.0,12,6.0
425.0,6,3.0
430.0,3,1.5
435.0,4,2.0
440.0,10,5.0
445.0,14,7.0
450.0,21,10.5
455.0,28,14.0
460.0,29,14.5
465.0,23,11.5
470.0,15,7.5
475.0,12,6.0
480.0,13,6.5
485.0,13,6.5
490.0,12,6.0
495.0,12,6.0
500.0,11,5.5
505.0,13,6.5
510.0,20,10.0
515.0,19,9.5
520.0,18,9.0
525.0,14,7.0
530.0,11,5.5
535.0,14,7.0
540.0,21,10.5
545.0,20,10.0
550.0,18,9.0
555.0,14,7.0
560.0,13,6.5
565.0,12,6.0
570.0,14,7.0
575.0,9,4.5
580.0,14,7.0
585.0,16,8.0
590.0,17,8.5
595.0,23,11.5
600.0,29,14.5
605.0,36,18.0
610.0,30,15.0
615.0,23,11.5
620.0,16,8.0
625.0,12,6.0
630.0,9,4.5
635.0,7,3.5
640.0,5,2.5
645.0,10,5.0
650.0,14,7.0
655.0,21,10.5
660.0,28,14.0
665.0,33,16.5
670.0,37,18.5
675.0,38,19.0
680.0,38,19.0
685.0,32,16.0
690.0,22,11.0
695.0,14,7.0
700.0,12,6.0
705.0,8,4.0
710.0,6,3.0
